SubType,Method,Pre.Energy,Pre.Contrast,Pre.Homogeneity,Pre.Entropy,Pre.Correlation,Pre.I,Pre.SD,Pre.Kurtosis,Pre.Skewness,Post1.Energy,Post1.Contrast,Post1.Homogeneity,Post1.Entropy,Post1.Correlation,Post1.I,Post1.SD,Post1.Kurtosis,Post1.Skewness,Post2.Energy,Post2.Contrast,Post2.Homogeneity,Post2.Entropy,Post2.Correlation,Post2.I,Post2.SD,Post2.Kurtosis,Post2.Skewness,Post3.Energy,Post3.Contrast,Post3.Homogeneity,Post3.Entropy,Post3.Correlation,Post3.I,Post3.SD,Post3.Kurtosis,Post3.Skewness
-1,FCM,0.187,35.032,0.541,0.396,0.629,179.074,24.423,3.681,-0.397,0.186,35.782,0.546,0.403,0.637,170.350,25.397,2.827,0.121,0.187,36.467,0.553,0.388,0.632,165.884,21.957,3.149,0.282,0.187,36.083,0.548,0.402,0.629,162.491,21.893,3.273,0.260
-1,FCM,0.087,63.523,0.343,0.319,0.387,152.065,34.850,6.171,-1.038,0.086,62.228,0.330,0.323,0.373,131.013,34.151,4.573,-0.780,0.087,55.938,0.329,0.329,0.382,140.556,38.548,4.393,-0.736,0.088,58.121,0.332,0.316,0.367,145.454,34.743,6.285,-0.856
-1,FCM,0.249,12.901,0.482,0.463,0.536,98.900,53.628,2.001,-0.083,0.247,14.506,0.480,0.445,0.529,110.473,40.291,2.824,0.542,0.247,15.606,0.484,0.406,0.526,106.719,35.568,2.691,0.373,0.247,17.628,0.483,0.424,0.524,122.197,39.571,2.362,0.247
-1,FCM,0.154,40.690,0.406,0.431,0.465,144.406,43.813,2.473,-0.607,0.154,40.655,0.407,0.434,0.462,136.531,46.341,2.631,-0.672,0.154,46.515,0.411,0.405,0.461,139.828,39.064,3.310,-0.893,0.155,45.062,0.413,0.413,0.464,149.479,43.847,3.872,-1.117
-1,FCM,0.142,46.282,0.378,0.305,0.418,143.276,35.520,3.205,-0.722,0.143,52.138,0.387,0.276,0.407,146.762,27.031,3.613,-0.265,0.143,51.147,0.393,0.266,0.404,141.342,25.280,3.852,-0.231,0.143,50.149,0.389,0.275,0.401,142.694,25.279,3.971,-0.341
-1,FCM,0.198,17.700,0.545,0.563,0.663,149.524,47.586,2.688,-0.648,0.200,14.482,0.564,0.490,0.653,116.757,26.112,3.225,-0.146,0.199,15.100,0.563,0.478,0.645,127.706,28.193,3.207,-0.064,0.199,15.350,0.558,0.483,0.648,126.354,32.317,3.691,-0.516
-1,FCM,0.213,18.657,0.566,0.417,0.634,142.066,28.505,6.513,-0.682,0.212,20.333,0.558,0.475,0.644,140.102,27.566,6.265,-0.734,0.213,24.170,0.563,0.436,0.637,139.858,23.218,10.703,-1.583,0.213,23.322,0.566,0.412,0.633,152.299,23.005,14.232,-1.822
-1,FCM,0.178,29.947,0.275,0.082,0.194,145.468,50.241,2.248,-0.025,0.178,30.610,0.279,0.082,0.200,139.746,43.132,2.456,-0.046,0.179,31.549,0.280,0.076,0.200,152.999,32.783,2.948,0.323,0.179,32.947,0.273,0.073,0.198,156.116,32.117,3.979,0.124
-1,FCM,0.168,6.207,0.573,0.368,0.595,75.614,23.469,4.462,0.781,0.165,4.690,0.560,0.333,0.612,78.834,21.393,11.307,1.576,0.163,7.360,0.545,0.370,0.601,96.049,23.763,6.987,0.710,0.163,8.480,0.541,0.407,0.594,99.550,27.745,4.432,0.301
-1,FCM,0.208,34.119,0.446,0.353,0.492,155.830,37.113,4.321,-0.580,0.208,33.417,0.449,0.352,0.499,154.784,37.221,3.948,-0.551,0.208,33.430,0.456,0.327,0.487,153.443,32.936,5.534,-0.767,0.208,33.921,0.455,0.330,0.482,152.741,32.693,5.678,-0.872
-1,FCM,0.201,48.965,0.406,0.277,0.364,181.576,24.382,3.035,-0.019,0.201,49.790,0.404,0.286,0.367,174.257,24.361,3.124,0.095,0.201,53.582,0.403,0.297,0.367,186.034,23.177,3.191,-0.079,0.201,52.924,0.404,0.286,0.367,193.921,23.162,3.026,-0.030
-1,FCM,0.158,51.273,0.344,0.205,0.324,149.909,25.358,3.293,-0.355,0.158,52.584,0.344,0.214,0.328,168.515,29.812,2.586,0.189,0.158,52.702,0.343,0.204,0.327,160.570,24.672,2.950,0.047,0.158,50.528,0.342,0.204,0.325,151.956,23.246,3.107,-0.129
1,GT,0.068,39.743,0.376,0.429,0.524,121.225,39.385,2.812,-0.508,0.066,37.797,0.364,0.467,0.517,123.835,45.101,2.471,0.055,0.066,38.136,0.371,0.445,0.523,121.072,37.234,2.934,-0.163,0.066,42.218,0.371,0.449,0.509,136.482,39.357,3.087,-0.197
1,GT,0.079,46.825,0.299,0.254,0.385,127.241,47.049,2.582,0.330,0.079,46.144,0.297,0.257,0.363,129.146,49.605,2.430,0.157,0.079,49.313,0.300,0.253,0.351,134.753,45.507,2.719,-0.004,0.080,51.457,0.302,0.245,0.346,135.422,44.426,2.837,-0.054
1,GT,0.050,56.414,0.398,0.325,0.490,143.518,25.231,10.285,-1.961,0.045,37.649,0.353,0.461,0.575,128.278,53.263,1.864,-0.070,0.045,47.450,0.360,0.443,0.516,127.735,40.858,2.713,-0.308,0.045,52.868,0.357,0.433,0.492,137.944,39.853,3.189,-0.386
1,GT,0.065,40.086,0.306,0.301,0.443,128.044,57.213,1.940,-0.000,0.065,37.190,0.298,0.302,0.469,123.889,60.456,1.902,0.246,0.065,39.381,0.306,0.298,0.465,129.437,61.501,1.869,0.138,0.065,40.242,0.307,0.292,0.456,125.581,56.903,1.898,0.053
1,GT,0.058,48.714,0.380,0.413,0.521,165.655,35.211,4.171,-1.059,0.057,37.490,0.373,0.478,0.566,143.143,41.972,2.486,-0.357,0.061,32.114,0.343,0.549,0.550,97.664,51.890,2.259,-0.067,0.057,41.085,0.373,0.468,0.548,150.857,40.740,2.880,-0.536
1,GT,0.112,38.734,0.454,0.571,0.620,158.779,38.555,4.403,-1.117,0.112,35.582,0.456,0.622,0.582,120.485,34.534,3.054,-0.175,0.112,36.773,0.461,0.605,0.582,128.363,33.454,3.306,-0.247,0.113,36.467,0.466,0.593,0.585,130.077,31.982,3.492,-0.231
1,GT,0.104,45.281,0.442,0.384,0.585,176.721,34.015,4.430,-1.180,0.102,47.029,0.432,0.455,0.566,166.463,33.864,2.541,-0.219,0.103,49.368,0.433,0.429,0.565,177.386,33.591,2.816,-0.511,0.103,51.421,0.442,0.406,0.564,173.237,29.837,3.140,-0.638
